,Overall success rate,Salesperson ID
0,0.1125,Salesperson 782680
1,0.8333333333333334,Salesperson 535671
2,0.020833333333333332,Salesperson 526132
3,1.0,Salesperson 558913
4,0.3076923076923077,Salesperson 312434
5,0.1875,Salesperson 519935
6,0.9967948717948718,Salesperson 962936
7,,Salesperson 650267
8,0.8076923076923077,Salesperson 904718
9,0.0603448275862069,Salesperson 909669
10,,Salesperson 586000
11,0.11363636363636363,Salesperson 495121
12,0.8863636363636364,Salesperson 626202
13,0.9466666666666667,Salesperson 901863
14,0.9523809523809523,Salesperson 270894
15,,Salesperson 422305
16,0.4444444444444444,Salesperson 289836
17,0.18061674008810572,Salesperson 996887
18,,Salesperson 924578
19,0.34782608695652173,Salesperson 169219
20,,Salesperson 488040
21,,Salesperson 776991
22,0.8842105263157894,Salesperson 806082
23,0.31686541737649065,Salesperson 476193
24,0.06578947368421052,Salesperson 178774
25,,Salesperson 939665
26,,Salesperson 118716
27,0.38,Salesperson 831357
28,,Salesperson 124968
29,0.5454545454545454,Salesperson 579549
30,0.06666666666666667,Salesperson 346750
31,0.018691588785046728,Salesperson 419211
32,0.8245614035087719,Salesperson 107972
33,0.43243243243243246,Salesperson 598113
34,0.4838709677419355,Salesperson 787554
35,,Salesperson 907825
36,0.5,Salesperson 918576
37,,Salesperson 624897
38,0.3333333333333333,Salesperson 946658
39,0.8,Salesperson 515049
40,0.07272727272727272,Salesperson 598660
41,,Salesperson 942121
42,0.4444444444444444,Salesperson 217232
43,0.8214285714285714,Salesperson 538903
44,,Salesperson 275914
45,0.3333333333333333,Salesperson 681465
46,1.0,Salesperson 693006
47,0.1111111111111111,Salesperson 991417
48,0.02857142857142857,Salesperson 815578
49,0.6111111111111112,Salesperson 300069
50,0.32164354880921225,
